name,is_baseline,status,dat_file,t_max,x_tmax,dz_u,dz_l,Au_0,Au_1,Au_2,Au_3,Au_4,Au_5,Al_0,Al_1,Al_2,Al_3,Al_4,Al_5
sample_000,True,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_000.dat,0.12030398857864501,0.3006012024048096,0.0015574793,-3.86697e-05,0.21828767,0.23832163,0.30765553,0.1991259,0.30210088,0.25983377,-0.13451469,-0.06345951,-0.01589266,-0.07290444,0.02177084,-0.04373223
sample_001,False,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_001.dat,0.12289921194735337,0.39078156312625245,0.0015574793,-3.86697e-05,0.16518059380912514,0.25267026053522146,0.29250111818027436,0.2631121281041482,0.35530605129651643,0.31096921606285816,-0.17488065544083917,-0.027734302239790676,-0.004463763181498548,-0.13612347344795098,0.03785870417123317,-0.07813254963236688
sample_002,False,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_002.dat,0.11199295300696918,0.2745490981963928,0.0015574793,-3.86697e-05,0.234525201689593,0.2357369906601832,0.2754637674361016,0.150052872644112,0.2564661493184586,0.20054823917113765,-0.11889975136823935,-0.03794758758125724,-0.029825027604140734,-0.08515516558390461,0.03494671283788578,-0.03990963383051459
sample_003,False,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_003.dat,0.10865014540755885,0.2945891783567134,0.0015574793,-3.86697e-05,0.23876021009692028,0.18041142797865284,0.29860174751301033,0.15448877034029845,0.32982084157735414,0.25925457242405237,-0.170719236053512,0.0005899724898557057,-0.07424756486437198,-0.015303213174523031,-0.034516521503643906,-0.006828650851120638
sample_004,False,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_004.dat,0.12324653856767402,0.23246492985971942,0.0015574793,-3.86697e-05,0.2655097434695376,0.26644706890639375,0.32141586452308224,0.15478118278712752,0.2784896601670311,0.28454827122300835,-0.1528620463088402,-0.0510932484422531,0.024248544150545753,-0.07158751957764972,0.020870591873817387,-0.09194388510234061
sample_005,False,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_005.dat,0.1100975329617983,0.22645290581162322,0.0015574793,-3.86697e-05,0.2273285203896555,0.2513095181180872,0.24948487128911884,0.14279192860328824,0.23997934655394984,0.27034948292576205,-0.17704247099948095,-0.006153839849355233,-0.01844576603387999,-0.07477373090364926,-0.0412479424065044,-0.0010154892730397658
sample_006,False,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_006.dat,0.1235141899625479,0.2865731462925851,0.0015574793,-3.86697e-05,0.17004307507664482,0.2277941349954676,0.3624665428707716,0.16638626676569063,0.27093253774559994,0.257619126451943,-0.17139648795393125,-0.10135918567516543,0.015131335787670785,-0.058122288840400146,0.028078909328355633,-0.06127430248245613
sample_007,False,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_007.dat,0.13694452291132686,0.30861723446893785,0.0015574793,-3.86697e-05,0.16344037506698342,0.25086802191122504,0.31545047709572027,0.2079415133960248,0.24487543520766022,0.22649640390205703,-0.17572963278653625,-0.1283541145114559,-0.04255690050682838,-0.1287529935279915,0.016326958233328942,-0.06264003431972534
sample_008,False,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_008.dat,0.13433546395786178,0.2725450901803607,0.0015574793,-3.86697e-05,0.24489236828699507,0.24732715918539946,0.2937262588562817,0.14847253730671153,0.3527869031124838,0.28414367945282437,-0.16460122371556846,-0.0972331910991734,-0.07443132687721642,-0.08065079517292838,-0.012315291047726152,-0.062160187824736965
sample_009,False,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_009.dat,0.12547103071397156,0.280561122244489,0.0015574793,-3.86697e-05,0.21409631290708536,0.29742070034032597,0.29282530282181624,0.22244253553573906,0.329235469673472,0.22753312871506975,-0.08643773206332647,-0.10037683861937013,0.007093181588322964,-0.03977323714972712,0.04175189533648087,-0.07920249093535991
sample_010,False,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_010.dat,0.11851939316532545,0.25851703406813625,0.0015574793,-3.86697e-05,0.25181931611661335,0.26649673779229954,0.2985160293882144,0.18212169517505108,0.34948103042590695,0.23993690430402506,-0.1304566769745214,-0.04750041657128801,0.023301601640747613,-0.07036679345618244,0.009340058603219493,-0.036939930099527535
sample_011,False,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_011.dat,0.14346059480949683,0.3006012024048096,0.0015574793,-3.86697e-05,0.2698037148426942,0.3005786432945319,0.3599082114921679,0.1782031966918119,0.36337060677159866,0.2766042907956655,-0.13904994463840217,-0.04882536876303506,-0.07578828825720263,-0.06229536919625542,-0.03319061139060653,-0.061579073743592644
sample_012,False,ok,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_012.dat,0.13233115311305693,0.30861723446893785,0.0015574793,-3.86697e-05,0.19717731136789263,0.249644901283607,0.30318431732407164,0.23032392366451077,0.35817780486818573,0.28579197036879833,-0.19282252705302835,-0.08158001326665995,-0.04236817038867264,-0.08074696793951074,-0.003357104959431166,-0.08624844643120592
